career_id,career_title,domain,description,min_exp_years,avg_salary_usd,required_skills_json
CR001,Full-Stack Software Engineer,Software Engineering,"Designs, builds, and deploys scalable web applications across the complete stack from frontend to backend databases.",0.5,105000,"[{""skill_id"": ""SK001"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK002"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK003"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK008"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK009"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK012"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK015"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK016"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK019"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK021"", ""required_level"": 3, ""importance"": 0.8}, {""skill_id"": ""SK034"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK040"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK041"", ""required_level"": 3, ""importance"": 0.8}, {""skill_id"": ""SK043"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK044"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK047"", ""required_level"": 4, ""importance"": 0.8}]"
CR002,Frontend Engineer,Web Development,"Specializes in building responsive, accessible, high-performance web user interfaces and client-side web architectures.",0.0,98000,"[{""skill_id"": ""SK002"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK003"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK009"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK011"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK012"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK013"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK014"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK019"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK040"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK043"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK044"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK050"", ""required_level"": 4, ""importance"": 0.8}]"
CR003,Backend Engineer,Backend & Cloud,"Engineers distributed server systems, high-throughput APIs, data pipelines, and microservice infrastructure.",0.5,110000,"[{""skill_id"": ""SK001"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK004"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK006"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK008"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK015"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK016"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK019"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK021"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK024"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK034"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK039"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK040"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK041"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK043"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK044"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK045"", ""required_level"": 3, ""importance"": 0.7}]"
CR004,Machine Learning Engineer,Artificial Intelligence,"Translates mathematical ML models into scalable production services, feature stores, and automated training pipelines.",1.0,125000,"[{""skill_id"": ""SK001"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK005"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK008"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK015"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK026"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK027"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK028"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK029"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK033"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK034"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK036"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK039"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK040"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK041"", ""required_level"": 3, ""importance"": 0.8}, {""skill_id"": ""SK043"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK047"", ""required_level"": 5, ""importance"": 1.0}]"
CR005,Data Scientist,Data & Analytics,"Applies statistical modeling, exploratory data analysis, and predictive algorithms to discover business insights and build models.",0.5,115000,"[{""skill_id"": ""SK001"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK008"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK021"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK026"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK027"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK028"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK030"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK040"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK043"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK047"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK048"", ""required_level"": 5, ""importance"": 1.0}]"
CR006,DevOps & Cloud Engineer,Infrastructure & Cloud,"Automates cloud deployments, manages container orchestration, implements CI/CD, and ensures high availability of systems.",1.0,118000,"[{""skill_id"": ""SK001"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK006"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK008"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK034"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK035"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK036"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK037"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK038"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK039"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK041"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK043"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK045"", ""required_level"": 4, ""importance"": 0.8}]"
CR007,AI & GenAI Solutions Engineer,Artificial Intelligence,"Architects enterprise generative AI workflows, RAG pipelines, LLM fine-tuning, and semantic search systems.",0.5,130000,"[{""skill_id"": ""SK001"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK003"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK008"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK015"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK024"", ""required_level"": 4, ""importance"": 0.7}, {""skill_id"": ""SK025"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK026"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK027"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK028"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK030"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK032"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK033"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK034"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK040"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK048"", ""required_level"": 4, ""importance"": 0.8}]"
CR008,Cybersecurity Analyst & Engineer,Security,"Protects organizational assets by identifying vulnerabilities, conducting threat modeling, and securing networks and software.",1.0,112000,"[{""skill_id"": ""SK001"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK005"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK008"", ""required_level"": 3, ""importance"": 0.6}, {""skill_id"": ""SK034"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK036"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK039"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK041"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK043"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK045"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK046"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK047"", ""required_level"": 5, ""importance"": 1.0}]"
CR009,Data Engineer,Data & Analytics,"Builds robust batch and real-time data pipelines, data warehouses, ETL processes, and large-scale analytical storage systems.",0.5,116000,"[{""skill_id"": ""SK001"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK004"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK008"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK021"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK022"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK023"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK024"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK026"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK034"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK036"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK038"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK039"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK040"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK041"", ""required_level"": 4, ""importance"": 0.9}]"
CR010,Systems & Embedded Software Engineer,Systems & Embedded,"Develops low-level system software, drivers, memory-constrained applications, and real-time operating system components.",1.0,120000,"[{""skill_id"": ""SK005"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK007"", ""required_level"": 4, ""importance"": 0.9}, {""skill_id"": ""SK034"", ""required_level"": 3, ""importance"": 0.7}, {""skill_id"": ""SK039"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK040"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK041"", ""required_level"": 5, ""importance"": 1.0}, {""skill_id"": ""SK042"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK043"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK044"", ""required_level"": 4, ""importance"": 0.8}, {""skill_id"": ""SK047"", ""required_level"": 5, ""importance"": 1.0}]"
