student_id,degree,institution_tier,gpa,target_career_id,career_skill_match_pct,total_skills_count,avg_skill_proficiency,core_cs_score,projects_count,avg_project_complexity,certifications_count,assessments_passed_pct,weekly_study_hours,learning_velocity_index,readiness_score,is_job_ready
STU_00001,BCA / MCA,1,8.35,CR005,40.18,9,1.73,34.1,0,1.9,0,24.7,4.9,0.62,25.24,0
STU_00002,BCA / MCA,3,7.11,CR009,36.58,9,1.59,30.8,1,1.9,0,21.4,7.6,0.67,26.67,0
STU_00003,B.Tech Computer Science,1,7.01,CR004,77.85,18,3.35,71.4,2,3.0,3,57.0,13.4,1.06,70.55,0
STU_00004,B.Tech Information Technology,3,10.0,CR009,63.79,16,2.57,52.6,3,2.5,3,52.7,8.3,1.25,58.92,0
STU_00005,B.S. Data Science,3,6.19,CR001,97.25,20,4.08,79.9,4,4.5,5,75.1,19.6,1.51,89.87,1
STU_00006,B.S. Data Science,2,8.17,CR004,93.9,19,4.56,81.7,7,4.8,3,95.6,21.3,2.04,92.64,1
STU_00007,B.Tech Computer Science,2,9.24,CR006,88.8,20,3.69,73.8,5,4.0,2,76.4,23.9,1.75,80.34,1
STU_00008,BCA / MCA,2,8.65,CR002,98.78,19,4.67,100.0,8,4.8,3,93.7,19.3,1.82,96.26,1
STU_00009,M.S. Computer Science,2,8.59,CR010,79.45,17,3.25,73.6,5,4.5,3,81.4,24.6,1.78,82.31,1
STU_00010,BCA / MCA,1,8.76,CR004,94.81,14,3.94,86.1,3,4.1,3,79.4,22.9,1.71,87.33,1
STU_00011,B.Tech Computer Science,2,6.61,CR008,76.97,20,3.06,60.9,3,2.8,1,65.6,8.9,1.02,65.43,0
STU_00012,B.S. Data Science,2,6.03,CR005,86.22,16,3.99,74.6,3,4.3,3,79.2,24.5,1.67,85.94,1
STU_00013,M.S. Computer Science,3,6.23,CR003,74.87,17,2.87,56.1,3,2.6,3,59.4,14.3,1.2,66.74,0
STU_00014,BCA / MCA,2,8.85,CR006,93.52,22,4.45,83.9,3,4.4,3,87.1,17.1,1.39,88.32,1
STU_00015,B.Tech Computer Science,3,7.46,CR007,67.29,17,2.58,54.4,2,2.5,3,72.6,8.9,1.13,63.61,0
STU_00016,BCA / MCA,2,8.76,CR008,61.12,9,2.4,53.6,4,2.6,2,74.7,11.7,1.15,61.12,0
STU_00017,B.Tech Information Technology,2,8.24,CR004,89.49,20,3.3,63.6,5,4.5,5,78.4,24.6,1.31,87.81,1
STU_00018,M.S. Computer Science,2,8.43,CR004,93.08,19,4.35,89.2,6,4.9,6,96.2,31.3,2.04,96.67,1
STU_00019,B.Tech Computer Science,3,6.56,CR002,49.75,4,2.03,39.3,0,1.5,1,23.4,8.0,0.81,37.62,0
STU_00020,M.S. Computer Science,1,8.02,CR007,69.77,12,3.24,60.2,3,3.0,3,65.6,16.6,1.38,66.0,0
STU_00021,B.S. Data Science,3,7.68,CR001,90.38,20,3.39,72.1,3,4.1,4,82.6,21.6,1.32,89.21,1
STU_00022,BCA / MCA,2,5.1,CR005,62.06,12,2.32,42.9,3,2.9,1,59.4,8.2,1.13,57.06,0
STU_00023,BCA / MCA,3,9.9,CR005,90.71,21,4.34,87.0,6,5.0,3,94.1,21.3,1.66,92.6,1
STU_00024,BCA / MCA,2,8.03,CR009,60.02,17,2.75,61.5,2,3.2,2,57.0,15.7,1.07,56.25,0
STU_00025,B.Tech Information Technology,2,8.38,CR009,97.75,22,4.52,96.3,7,4.6,6,91.5,31.0,2.1,96.96,1
STU_00026,B.Tech Computer Science,1,9.23,CR006,83.15,18,3.79,72.5,5,4.2,3,79.5,22.2,1.55,80.92,1
STU_00027,B.Tech Computer Science,2,8.71,CR010,88.07,20,4.02,82.0,5,4.7,6,95.6,30.3,1.81,91.47,1
STU_00028,B.Tech Computer Science,3,8.72,CR009,91.94,18,3.98,66.8,4,4.2,5,89.2,15.7,1.59,90.51,1
STU_00029,M.S. Computer Science,1,7.63,CR009,94.65,13,3.92,85.0,6,3.8,3,80.0,18.4,1.57,88.75,1
STU_00030,M.S. Computer Science,3,7.62,CR004,94.37,15,4.14,80.4,6,4.2,4,83.9,14.7,1.67,96.24,1
STU_00031,B.Tech Electronics,3,8.83,CR008,28.55,12,1.0,17.4,0,1.3,0,26.9,8.0,0.61,20.57,0
STU_00032,B.S. Data Science,1,5.96,CR009,52.48,11,2.0,41.1,0,2.2,0,30.3,5.6,0.75,39.3,0
STU_00033,B.Tech Computer Science,3,5.92,CR001,51.41,8,1.8,28.0,0,1.4,1,24.2,9.0,0.99,38.9,0
STU_00034,B.Tech Computer Science,2,6.12,CR005,83.46,17,4.07,71.3,4,4.4,3,79.5,20.2,1.54,86.33,1
STU_00035,BCA / MCA,3,8.58,CR010,75.13,17,2.85,62.9,2,3.4,2,56.8,13.9,1.14,68.07,0
STU_00036,B.Tech Electronics,1,7.95,CR002,84.23,20,3.25,67.7,5,4.4,5,79.5,24.2,1.79,84.01,1
STU_00037,B.Tech Electronics,2,9.39,CR001,90.59,14,3.3,67.7,3,4.3,2,88.3,20.8,1.42,79.02,1
STU_00038,B.Tech Electronics,3,8.55,CR002,54.07,9,2.38,49.9,0,2.2,1,22.7,6.5,0.95,40.88,0
STU_00039,B.Tech Information Technology,2,6.88,CR005,70.68,18,2.99,59.4,2,2.8,2,55.6,13.4,1.24,62.47,0
STU_00040,M.S. Computer Science,1,8.56,CR009,90.69,18,3.44,70.1,3,4.5,3,82.4,19.3,1.6,86.8,1
STU_00041,B.Tech Information Technology,2,6.9,CR008,33.53,7,1.43,16.7,1,2.2,0,45.0,7.0,0.6,29.89,0
STU_00042,B.Tech Information Technology,2,8.25,CR007,54.46,10,2.03,50.0,3,2.9,2,67.7,8.7,1.23,57.11,0
