skill_id,skill_name,category,domain,description,aliases
SK001,Python,Languages,General,High-level versatile programming language,"python,py,python3"
SK002,JavaScript,Languages,Web Development,Dynamic scripting language for web development,"javascript,js,es6"
SK003,TypeScript,Languages,Web Development,Typed superset of JavaScript,"typescript,ts"
SK004,Java,Languages,Enterprise & Backend,Object-oriented language for enterprise applications,"java,core java,java8"
SK005,C++,Languages,Systems & High Performance,General-purpose language with low-level memory control,"cpp,c++,c plus plus"
SK006,Go,Languages,Cloud & Backend,Concurrent compiled language developed by Google,"golang,go"
SK007,Rust,Languages,Systems & Security,Memory-safe systems programming language,"rust,rustlang"
SK008,SQL,Languages,Databases,Standard query language for relational databases,"sql,postgres,mysql,ansi-sql"
SK009,React,Frontend,Web Development,Component-based declarative UI library,"react,reactjs,react.js"
SK010,Vue.js,Frontend,Web Development,Progressive JavaScript framework for UI,"vue,vuejs,vue3"
SK011,Next.js,Frontend,Web Development,React framework for production SSR and SSG,"nextjs,next.js,next"
SK012,HTML5 & CSS3,Frontend,Web Development,Core markup and styling standards of the web,"html,css,html5,css3,responsive design"
SK013,Tailwind CSS,Frontend,Web Development,Utility-first CSS framework for rapid UI,"tailwind,tailwindcss"
SK014,Redux / State Management,Frontend,Web Development,Predictable state container for JavaScript apps,"redux,zustand,recoil,mobx"
SK015,FastAPI,Backend,Backend & APIs,Modern high-performance Python web framework,"fastapi,fast-api"
SK016,Node.js & Express,Backend,Backend & APIs,JavaScript runtime and minimalist web framework,"nodejs,node,express,expressjs"
SK017,Django,Backend,Backend & APIs,Full-featured batteries-included Python framework,"django,django rest framework,drf"
SK018,Spring Boot,Backend,Enterprise & Backend,Production-grade Java framework for microservices,"spring,springboot,spring-boot"
SK019,RESTful API Design,Backend,System Architecture,Standard architectural principles for REST APIs,"rest,rest api,http api,api design"
SK020,GraphQL,Backend,APIs & Integration,Query language for APIs and runtime for fulfilling queries,"graphql,apollo"
SK021,PostgreSQL,Databases,Relational Databases,Advanced open-source relational database system,"postgres,postgresql,psql"
SK022,MySQL,Databases,Relational Databases,Widely deployed open-source relational database,"mysql,mariadb"
SK023,MongoDB,Databases,NoSQL,Document-based distributed NoSQL database,"mongodb,mongo,nosql"
SK024,Redis,Databases,Caching & In-Memory,In-memory data structure store used as cache/broker,"redis,caching"
SK025,Elasticsearch,Databases,Search & Analytics,Distributed search and analytics engine,"elastic,elasticsearch,elk"
SK026,Pandas & NumPy,AI & ML,Data Analysis,Foundational Python libraries for data wrangling and math,"pandas,numpy,data analysis"
SK027,Scikit-Learn,AI & ML,Machine Learning,Classical machine learning algorithms in Python,"scikit-learn,sklearn,ml"
SK028,PyTorch,AI & ML,Deep Learning,Dynamic neural network and deep learning framework,"pytorch,torch,deep learning"
SK029,TensorFlow / Keras,AI & ML,Deep Learning,End-to-end open-source machine learning platform,"tensorflow,tf,keras"
SK030,Natural Language Processing (NLP),AI & ML,AI Specialization,Processing and analyzing natural language text,"nlp,spacy,nltk,huggingface"
SK031,Computer Vision (CV),AI & ML,AI Specialization,Visual recognition and image processing,"cv,opencv,vision models,cnn"
SK032,LLMs & RAG Architecture,AI & ML,Generative AI,"Large language models, prompt engineering, and vector retrieval","rag,llm,langchain,llamaindex,genai"
SK033,MLOps & Model Deployment,AI & ML,ML Infrastructure,"Continuous integration, tracking, and deployment of ML models","mlops,mlflow,dvc,triton,bento"
SK034,Docker & Containers,DevOps,Containers & Virtualization,Standard platform for containerizing applications,"docker,containers,containerization"
SK035,Kubernetes,DevOps,Orchestration,Automated container orchestration and scaling,"k8s,kubernetes"
SK036,AWS (Amazon Web Services),Cloud,Cloud Computing,Leading cloud computing service platform,"aws,ec2,s3,lambda,iam"
SK037,GCP (Google Cloud Platform),Cloud,Cloud Computing,Suite of cloud computing services by Google,"gcp,google cloud"
SK038,CI/CD Pipelines,DevOps,Automation & CI/CD,Continuous integration and continuous deployment automation,"ci/cd,github actions,gitlab ci,jenkins"
SK039,Linux & Shell Scripting,Systems,Operating Systems,"UNIX command-line navigation, bash scripting, and administration","linux,bash,shell,unix"
SK040,Data Structures & Algorithms,Core CS,Fundamentals,"Efficient algorithms, complexity analysis, and data modeling","dsa,algorithms,data structures,leetcode"
SK041,System Design & Architecture,Core CS,System Architecture,"Designing scalable, fault-tolerant distributed systems","system design,hld,lld,scalability,microservices"
SK042,Object-Oriented Programming (OOP),Core CS,Software Engineering,"Encapsulation, inheritance, polymorphism, and design patterns","oop,solid principles,design patterns"
SK043,Git & Version Control,Software Tools,Collaboration,Distributed version control and branch workflows,"git,github,version control"
SK044,Software Testing & QA,Software Tools,Quality Assurance,"Unit testing, integration testing, and test automation","unit testing,pytest,jest,tdd,qa"
SK045,Web Security & OWASP,Security,Cybersecurity,"Protection against top web vulnerabilities like XSS, CSRF, Injection","owasp,security,appsec,xss,csrf"
SK046,Cryptography & PKI,Security,Cybersecurity,"Encryption algorithms, SSL/TLS, and public key infrastructure","crypto,encryption,pki,tls"
SK047,Problem Solving & Critical Thinking,Soft Skills,General,Structured breakdown of complex challenges and logic,"problem solving,critical thinking,analytical skills"
SK048,Technical Communication,Soft Skills,General,Clear written and verbal explanation of technical concepts,"communication,documentation,teamwork"
SK049,Agile & Scrum Methodologies,Soft Skills,Project Management,"Iterative sprint planning, user stories, and team collaboration","agile,scrum,jira,kanban"
SK050,Product Mindset & UX Empathy,Soft Skills,Product Design,Understanding user requirements and product business value,"product sense,ux,user experience"
