student_id,week,initial_readiness,weekly_study_hours,learning_consistency,cumulative_hours,milestones_completed,readiness_at_week
TRJ_0001,0,18.8,6.5,1.16,0,0,18.8
TRJ_0001,4,18.8,6.5,1.16,28,1,24.08
TRJ_0001,8,18.8,6.5,1.16,56,4,28.93
TRJ_0001,12,18.8,6.5,1.16,79,5,32.67
TRJ_0001,16,18.8,6.5,1.16,107,7,36.93
TRJ_0001,20,18.8,6.5,1.16,136,10,41.14
TRJ_0001,24,18.8,6.5,1.16,162,13,44.7
TRJ_0002,0,30.34,7.3,0.88,0,0,30.34
TRJ_0002,4,30.34,7.3,0.88,29,1,33.92
TRJ_0002,8,30.34,7.3,0.88,57,2,37.15
TRJ_0002,12,30.34,7.3,0.88,86,3,40.31
TRJ_0002,16,30.34,7.3,0.88,116,5,43.46
TRJ_0002,20,30.34,7.3,0.88,144,6,46.24
TRJ_0002,24,30.34,7.3,0.88,170,7,48.69
TRJ_0003,0,18.1,15.5,1.23,0,0,18.1
TRJ_0003,4,18.1,15.5,1.23,65,1,30.26
TRJ_0003,8,18.1,15.5,1.23,122,4,39.39
TRJ_0003,12,18.1,15.5,1.23,184,6,47.97
TRJ_0003,16,18.1,15.5,1.23,240,9,54.75
TRJ_0003,20,18.1,15.5,1.23,295,11,60.5
TRJ_0003,24,18.1,15.5,1.23,362,14,66.52
TRJ_0004,0,32.08,6.4,1.19,0,0,32.08
TRJ_0004,4,32.08,6.4,1.19,28,3,36.6
TRJ_0004,8,32.08,6.4,1.19,52,4,40.18
TRJ_0004,12,32.08,6.4,1.19,77,5,43.71
TRJ_0004,16,32.08,6.4,1.19,104,7,47.29
TRJ_0004,20,32.08,6.4,1.19,126,8,49.98
TRJ_0004,24,32.08,6.4,1.19,154,9,53.29
TRJ_0005,0,54.92,17.6,1.02,0,0,54.92
TRJ_0005,4,54.92,17.6,1.02,70,3,60.98
TRJ_0005,8,54.92,17.6,1.02,147,5,66.67
TRJ_0005,12,54.92,17.6,1.02,217,8,71.16
TRJ_0005,16,54.92,17.6,1.02,290,11,75.18
TRJ_0005,20,54.92,17.6,1.02,363,12,78.64
TRJ_0005,24,54.92,17.6,1.02,434,14,81.52
TRJ_0006,0,52.03,26.3,0.74,0,0,52.03
TRJ_0006,4,52.03,26.3,0.74,102,3,58.77
TRJ_0006,8,52.03,26.3,0.74,209,6,64.86
TRJ_0006,12,52.03,26.3,0.74,323,7,70.32
TRJ_0006,16,52.03,26.3,0.74,423,9,74.43
TRJ_0006,20,52.03,26.3,0.74,531,11,78.24
TRJ_0006,24,52.03,26.3,0.74,634,13,81.32
TRJ_0007,0,19.96,29.9,1.11,0,0,19.96
TRJ_0007,4,19.96,29.9,1.11,112,3,37.61
TRJ_0007,8,19.96,29.9,1.11,237,4,52.75
TRJ_0007,12,19.96,29.9,1.11,348,7,63.11
TRJ_0007,16,19.96,29.9,1.11,475,10,72.2
TRJ_0007,20,19.96,29.9,1.11,585,13,78.23
TRJ_0007,24,19.96,29.9,1.11,721,15,83.92
TRJ_0008,0,36.81,25.1,1.12,0,0,36.81
TRJ_0008,4,36.81,25.1,1.12,111,2,50.78
TRJ_0008,8,36.81,25.1,1.12,221,5,61.57
TRJ_0008,12,36.81,25.1,1.12,308,8,68.38
TRJ_0008,16,36.81,25.1,1.12,402,9,74.4
TRJ_0008,20,36.81,25.1,1.12,504,10,79.64
TRJ_0008,24,36.81,25.1,1.12,614,13,84.1
TRJ_0009,0,50.05,15.0,1.15,0,0,50.05
TRJ_0009,4,50.05,15.0,1.15,62,3,56.74
TRJ_0009,8,50.05,15.0,1.15,129,4,62.96
TRJ_0009,12,50.05,15.0,1.15,195,6,68.22
TRJ_0009,16,50.05,15.0,1.15,250,7,72.03
TRJ_0009,20,50.05,15.0,1.15,307,8,75.48
TRJ_0009,24,50.05,15.0,1.15,362,9,78.44
TRJ_0010,0,35.71,6.7,0.92,0,0,35.71
TRJ_0010,4,35.71,6.7,0.92,30,2,39.19
TRJ_0010,8,35.71,6.7,0.92,58,5,42.34
